ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
UO000024,CCC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)C,352.7,9.28,0.0,0.0,0.0,17.0,0.24,4.0
UO000023,CC(=O)OCCC(C)CCCC(C)CCCC(C)CCCC(C)CCC(CCCC(C)CCCC(C)CCCC(C)CCOC(C)=O)CC(CCC(C)CCCC(C)CCCC(C)CCOC(C)=O)C(C)CCC(C)CCCC(C)CCCC(C)CCCC(C)CCOC(C)=O,1356.3,27.18,0.0,8.0,105.2,68.0,0.04,17.0
UO000003,CC(=O)OCC(COCCC(C)CCCC(C)CCCC(C)CCCC(C)C)OCCC(C)CCCC(C)CCCC(C)CCCC(C)C,695.2,13.88,0.0,4.0,44.8,35.0,0.05,7.0
UO000002,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CCOC[C@H](COP(=O)(O)OC[C@@H](N)C(=O)O)OCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,820.2,12.86,4.0,9.0,137.5,40.0,0.04,9.0
TT000166,C=CC(C)(C)[C@@]12C[C@H]3C(O)=N[C@H](C(C)C)C(=O)N3[C@@H]1Nc1ccccc12,353.5,3.48,2.0,5.0,64.9,3.0,0.82,4.0
TT000153,C[C@H]1CCC/C=C/C(=O)c2c(O)cc(O)cc2CC(=O)O1,290.3,2.49,2.0,5.0,83.8,0.0,0.72,1.0
TT000151,C[C@H]1CCC(=O)CCC(=O)c2c(O)cc(O)cc2CC(=O)O1,306.3,1.9,2.0,6.0,100.9,0.0,0.71,1.0
TT000148,C[C@H]1CCC(=O)[C@@H](O)CC(=O)c2c(O)cc(O)cc2CC(=O)O1,322.3,0.87,3.0,7.0,121.1,0.0,0.61,2.0
TT000133,C[C@H]1CC/C=C/CC(=O)c2c(O)cc(O)cc2CC(=O)O1,290.3,2.49,2.0,5.0,83.8,0.0,0.57,1.0
TT000132,CCC(C)[C@H]1N=C(O)[C@H](Cc2c[nH]c3ccccc23)N=C1O,299.4,3.42,3.0,5.0,81.0,4.0,0.81,3.0
TT000131,CC(C)C[C@H]1N=C(O)[C@H](Cc2c[nH]c3ccccc23)N=C1O,299.4,3.42,3.0,5.0,81.0,4.0,0.81,2.0
TT000129,Cc1c(O)cc2c(c1O)C(=O)O[C@H](C)[C@@H]2C,222.2,2.07,2.0,4.0,66.8,0.0,0.66,2.0
TT000123,Cc1cc(O)c2c(=O)oc3c(c2c1)[C@@H](O)CC3,232.2,1.79,2.0,4.0,70.7,0.0,0.73,1.0
TT000121,COC(=O)[C@]1(O)CCc2oc(=O)c3c(O)cc(C)cc3c21,290.3,1.11,2.0,6.0,97.0,1.0,0.76,1.0
TT000113,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,374.3,2.91,2.0,8.0,107.6,5.0,0.7,0.0
PR010241,CC(O)=N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(O)nc3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,607.4,-3.4,9.0,20.0,309.6,10.0,0.07,11.0
PR010240,NCCc1ccc(O)cc1,137.2,0.89,3.0,2.0,46.2,2.0,0.64,0.0
PR010239,Cc1cnc(O)nc1O,126.1,0.2,2.0,4.0,66.2,0.0,0.52,0.0
PR010238,O=C(O)CCC(=O)O,118.1,-0.06,2.0,4.0,74.6,3.0,0.54,0.0
PR010237,CCCCCCCCCCCCCCCCCC(=O)O,284.5,6.33,1.0,2.0,37.3,16.0,0.34,0.0
PR010236,NCCCNCCCCNCCCN,202.3,-0.36,6.0,4.0,76.1,11.0,0.35,0.0
PR010234,NCCCCNCCCN,145.3,-0.34,5.0,3.0,64.1,7.0,0.43,0.0
PR010233,O=C(O)CCCCCCCCC(=O)O,202.2,2.28,2.0,4.0,74.6,9.0,0.56,0.0
