ID,SMILES,MolecularWeight,LogP,NumHBD,NumHBA,PSA,NumRotatableBonds,QED,NumChiralCenters
WA002994,CO/N=C(\C(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(=N)O)CS[C@H]12)c1ccco1,424.4,0.72,4.0,12.0,178.2,7.0,0.21,2.0
WA002986,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,385.5,2.09,0.0,7.0,69.6,6.0,0.55,0.0
WA002982,Cc1cccc(C)c1OCC(C)N,179.3,2.03,2.0,2.0,35.2,3.0,0.77,1.0
WA002972,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,326.4,3.4,1.0,4.0,45.6,4.0,0.94,5.0
WA002966,N=C(O)CS(=O)(=O)C(c1ccccc1)c1ccccc1,289.4,2.73,2.0,4.0,78.2,5.0,0.66,0.0
WA002962,N=C(O)CS(=O)C(c1ccccc1)c1ccccc1,273.4,3.06,2.0,3.0,61.2,5.0,0.65,1.0
WA002958,O=C(O)CS(=O)C(c1ccccc1)c1ccccc1,274.3,2.61,1.0,3.0,54.4,5.0,0.91,1.0
WA002954,O=[N+]([O-])c1ccc2c(c1)C(c1ccccc1Cl)=NCC(O)=N2,315.7,3.69,1.0,6.0,88.1,2.0,0.68,0.0
WA002948,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,362.5,1.78,3.0,5.0,94.8,2.0,0.7,7.0
WA002942,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,313.4,1.89,1.0,4.0,41.9,2.0,0.85,5.0
WA002937,CCN=c1nc(Cl)[nH]c(=NCC)[nH]1,201.7,0.23,2.0,5.0,69.2,2.0,0.71,0.0
WA002932,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,374.9,3.06,1.0,4.0,35.9,8.0,0.72,1.0
WA002926,CC(C)NCC(O)COc1ccc(O)c2ccccc12,275.3,2.28,3.0,4.0,61.7,6.0,0.76,1.0
WA002920,C[C@]12Cc3c(O)n[nH]c3C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,344.5,3.82,3.0,4.0,69.1,0.0,0.67,7.0
WA002917,COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,440.6,4.75,1.0,6.0,72.7,13.0,0.45,1.0
WA002912,c1ccc2c(c1)Cc1cccnc1N1CCNC[C@H]21,251.3,2.14,1.0,3.0,28.2,0.0,0.78,1.0
WA002906,N=C(O)N1c2ccccc2C2OC2c2ccccc21,252.3,3.44,2.0,4.0,59.9,0.0,0.43,2.0
WA002900,OC1=Nc2ccc(Br)cc2C(c2ccccn2)=NC1O,332.2,2.6,2.0,5.0,78.1,1.0,0.84,1.0
WA002895,N=C(N)N1Cc2ccccc2C(O)C1,191.2,0.43,4.0,4.0,73.3,0.0,0.41,1.0
WA002889,O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,332.8,2.66,1.0,4.0,52.9,3.0,0.94,0.0
WA002885,COc1cc(CC(C)N)c(OC)cc1C,209.3,1.9,2.0,3.0,44.5,4.0,0.82,1.0
WA002880,COc1ccc(OC)c(C[C@H](C)N)c1,195.3,1.59,2.0,3.0,44.5,4.0,0.79,1.0
WA002875,COc1cc(CC(C)N)cc(OC)c1OC,225.3,1.6,2.0,4.0,53.7,5.0,0.83,1.0
WA002870,COc1cc(CC(C)N)c(OC)cc1Br,274.2,2.36,2.0,3.0,44.5,4.0,0.92,1.0
WA002865,COc1ccc(CC(C)N)cc1,165.2,1.58,2.0,2.0,35.2,3.0,0.74,1.0
WA002860,CSc1ccc(CC(C)N)cc1,181.3,2.3,2.0,1.0,26.0,3.0,0.72,1.0
WA002855,CCCNCC(O)COc1ccc(O)cc1C(=O)CCc1ccccc1,357.4,2.95,3.0,5.0,78.8,11.0,0.43,1.0
WA002852,Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(O)=N2,285.7,3.36,3.0,4.0,71.0,1.0,0.79,0.0
WA002846,CN1C(=O)CN=C(c2ccccc2F)c2cc(N)ccc21,283.3,2.22,2.0,4.0,58.7,1.0,0.82,0.0
WA002840,Nc1ccc2c(c1)C(c1ccccc1)=NCC(O)=N2,251.3,2.71,3.0,4.0,71.0,1.0,0.76,0.0
WA002835,CC(=O)O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3C)[C@H]1O5,327.4,1.77,1.0,5.0,59.0,1.0,0.63,5.0
WA002830,C[N+]1([O-])CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,404.8,1.58,0.0,10.0,111.6,2.0,0.55,1.0
WA002824,CC(C)NCCC(C(=N)O)(c1ccccc1)c1ccccn1,297.4,3.29,3.0,4.0,69.0,7.0,0.54,1.0
WA002819,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,263.4,2.73,2.0,3.0,43.7,4.0,0.88,1.0
WA002813,OC1=Nc2ccc(Cl)cc2C(c2ccccc2F)=NC1,288.7,3.92,1.0,3.0,45.0,1.0,0.85,0.0
WA002809,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,617.3,6.2,1.0,4.0,51.5,10.0,0.17,0.0
WA002804,Cc1cc(N(C)C)nc(Cl)n1,171.6,1.5,0.0,3.0,29.0,1.0,0.6,0.0
WA002799,CC(CN(C)C)CN1c2ccccc2Sc2ccc(C#N)cc21,323.5,4.36,0.0,3.0,30.3,4.0,0.84,1.0
WA002794,CN=C(O)Oc1cccc2c1OC(C)(C)C2,221.3,2.32,1.0,4.0,51.1,1.0,0.58,0.0
WA002789,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccc(Cl)cc1,374.8,4.74,0.0,3.0,51.2,4.0,0.62,1.0
WA002783,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21,292.3,3.97,1.0,3.0,50.4,1.0,0.69,1.0
WA002776,N=c1nc(S)c2nc[nH]c2[nH]1,167.2,0.05,3.0,5.0,81.2,0.0,0.33,0.0
WA002771,Sc1ncc2ncnc-2[nH]1,152.2,0.59,1.0,4.0,54.5,0.0,0.43,0.0
WA002766,Sc1ncnc2[nH]cnc12,152.2,0.64,1.0,4.0,54.5,0.0,0.43,0.0
WA002761,CN(C)C(O)=Nc1ccc(Cl)c(Cl)c1,233.1,3.1,1.0,3.0,35.8,1.0,0.6,0.0
WA002755,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,198.1,1.52,1.0,7.0,106.5,2.0,0.57,0.0
WA002751,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,588.6,1.34,3.0,13.0,160.8,5.0,0.43,10.0
WA002744,O=C(c1cc(O)c(O)c(O)c1)c1ccc(O)c(O)c1O,278.2,1.15,6.0,7.0,138.4,2.0,0.36,0.0
WA002739,C[N+]1(CCC(C(=N)O)(c2ccccc2)c2ccccc2)CCCCC1,337.5,4.53,2.0,3.0,44.1,6.0,0.45,0.0
WA002733,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,388.9,2.79,0.0,6.0,51.2,5.0,0.79,0.0
WA002727,CC(C)Cc1ccc(C(C)C(=O)O)cc1,206.3,3.07,1.0,2.0,37.3,4.0,0.82,1.0
WA002723,Cc1cc(C(=O)NNCc2ccccc2)no1,231.3,1.42,2.0,5.0,67.2,4.0,0.78,0.0
WA002718,CC(C)NCC(O)c1ccc(O)c(O)c1,211.3,1.13,4.0,4.0,72.7,4.0,0.56,1.0
WA002713,CP(=O)(O)CCC(N)C(=O)O,181.1,-0.31,4.0,5.0,100.6,4.0,0.52,2.0
WA002708,CN(C)CCc1ccc(O)cc1,165.2,1.5,1.0,2.0,23.5,3.0,0.73,0.0
WA002703,O=C(OCC(O)CO)c1cc(O)ccc1Nc1ccnc2c(C(F)(F)F)cccc12,422.4,3.21,4.0,7.0,111.9,6.0,0.36,1.0
WA002698,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,325.5,3.77,2.0,3.0,43.7,5.0,0.88,2.0
WA002693,N#Cc1cc(I)c(O)c(I)c1,370.9,2.47,1.0,2.0,44.0,0.0,0.71,0.0
